호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,합정,105,1,11273,4434,20080,22371,48571,37465,58642,94481,39931,77736,31602,48549,33607,46347,36977,52170,42605,58989,42111,55799,46377,56014,54327,63452,69154,76684,110958,111680,75765,95405,61165,52737,73368,42149,74311,37503,43778,26955,6794,9755,77,368,122,152,16,48
2호선,홍대입구,1828,25,46383,4877,41686,22800,74273,40957,91036,111205,70941,131153,65128,103512,72325,117620,83134,147728,95447,171448,102584,168992,122246,170229,148034,181416,173004,209208,209341,264957,170431,227458,170352,137672,209947,110791,237487,94779,140057,71802,17328,28422,312,2955,368,863,63,180
2호선,신촌,174,5,13601,4486,18061,19539,40042,44067,55870,93555,44125,119122,44346,84139,53469,78608,68098,89047,77520,94190,78132,86796,87127,82761,100475,86892,118444,102203,123607,138722,94422,114157,98713,64598,106048,52730,118739,47933,64062,35692,10122,12046,220,304,460,259,94,61
2호선,이대,22,1,3570,1782,7212,11095,18208,21197,25445,46627,19441,59895,17189,51578,22273,41279,34826,48190,38000,46520,36770,38630,44018,37744,54532,36728,62198,37877,55823,41790,40867,34055,34962,20256,36815,18584,29896,18501,10966,14376,1174,5181,12,146,18,53,6,12
2호선,아현,33,1,5443,1132,11241,5848,27469,14326,37316,24686,24100,14594,18382,12486,17343,10742,18509,12731,17604,14073,16081,14052,17284,16038,23793,18257,20649,22115,22466,29760,14911,27110,10892,18557,9147,17922,6596,18313,3186,13255,508,4111,18,78,16,31,2,21
2호선,충정로(경기대입구),39,0,4148,1182,8095,7434,18713,22051,25927,66951,16979,37752,13519,15285,15161,13378,15047,13289,15934,15355,15798,14552,17340,14634,21240,15198,23873,18038,56987,23721,22763,19975,13907,13352,12361,13676,9642,13089,4701,9575,693,3068,18,100,32,31,5,28
2호선,용답,14,0,2588,236,3856,1087,8935,1839,13373,3546,6438,3556,4500,3107,4029,2730,4483,2822,4336,3470,4000,3218,3866,4324,4912,5811,4423,6334,3956,9822,3049,7987,2195,5204,1611,6192,1147,5995,597,3922,88,1055,0,11,0,0,0,0
2호선,신답,14,0,1002,151,1829,1018,5955,1192,8594,2131,3429,1246,2283,1414,1991,1354,2140,1579,2172,1811,1786,1894,1824,2384,2161,3079,2530,3445,2165,6746,1424,6311,788,3253,587,3474,612,2872,232,2231,33,560,0,1,0,0,0,0
2호선,신설동,24,1,1314,373,1503,2299,3127,6176,5370,15879,4562,12234,5649,9499,7211,9131,8320,8451,9363,8973,10187,8048,11190,7239,10976,6378,13875,6867,18413,6360,7072,4957,4554,3279,3596,2950,2917,2990,1154,2458,160,820,2,145,0,0,0,0
2호선,도림천,0,0,394,343,1297,1014,3322,5413,2956,5481,2054,1915,1528,1502,1415,1189,1834,1695,1633,1306,1724,1483,2289,1423,3194,1738,2508,1974,3211,2598,1967,2564,1087,1633,983,1499,556,1250,231,901,40,365,1,7,0,0,0,0
