호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,합정,105,2,9991,3758,19296,21043,49508,39232,62300,102820,44339,80949,34127,51357,35912,49146,40484,53444,45134,63005,45968,59526,51009,61541,60244,69235,79273,84261,122385,117634,81954,99484,66296,52937,76723,43401,77506,37102,41004,26678,5980,9059,19,622,0,0,0,0
2호선,홍대입구,1784,27,39082,5801,37965,20678,75750,39678,96906,125509,78092,153876,73339,119903,80203,134650,92780,163691,106878,188898,114082,184427,137502,190317,169079,204699,201259,239014,239313,292887,200101,244406,193170,142504,234551,112328,254987,92110,142789,68641,16735,23616,29,2272,0,0,0,0
2호선,신촌,128,5,12354,3750,16587,18375,40212,45498,59699,108245,46509,133098,46915,97370,55512,87310,71563,91994,82770,100753,81371,90655,93473,86561,110918,92924,131679,117754,140392,164986,108197,126066,111189,67081,125469,53130,140295,48673,77053,35337,11871,11066,25,456,0,0,0,0
2호선,이대,35,1,3339,2335,6765,15802,19133,22319,28321,52529,20516,78699,18277,69140,24724,49710,39636,56418,46541,54348,43400,43350,56132,43246,68509,42309,81622,45387,73215,52415,49680,38626,41375,23335,43998,20376,31164,20826,10424,15642,1212,5034,3,196,0,0,0,0
2호선,아현,15,0,4590,1366,10784,9803,29312,15193,40388,25991,25474,15998,19395,14728,18086,11132,19539,13408,19627,14235,17262,15637,18241,16994,28000,19721,25997,24879,24593,32309,15199,28358,10782,19827,8996,19493,6751,19890,3274,14216,512,4196,3,129,0,0,0,0
2호선,충정로(경기대입구),15,0,3929,1011,7909,7641,19533,19702,26889,70938,18053,33884,14455,16054,15194,14233,15654,14028,17139,17095,17183,15249,17974,15348,21631,16582,26999,19996,56295,25664,21237,20661,13281,14277,13148,14284,9298,14375,4174,9755,614,3155,9,171,0,0,0,0
2호선,용답,4,0,2524,214,3517,1021,9301,1656,14454,4442,6801,7730,4741,4504,4517,3012,5075,3488,5081,4212,4912,4085,4895,5032,6114,6502,6407,6916,4796,10347,2844,8555,2066,5567,1584,6389,1165,5852,460,4182,72,1063,1,1,0,0,0,0
2호선,신답,3,0,895,114,1876,580,7221,1049,10854,2012,4391,1349,2698,1471,2474,1584,2541,1730,2510,1955,2102,2232,2041,2920,2192,3539,2314,3965,2397,8757,1429,7860,826,3722,682,4247,588,3307,201,2366,39,611,0,1,0,0,0,0
2호선,신설동,33,0,1179,388,1358,2184,3818,6894,6277,16739,5546,13394,5791,10818,7419,10443,8667,9994,10146,10161,11505,9316,12934,8479,14086,7009,16452,7441,21196,7181,8920,5772,5470,4031,4444,3484,3502,3536,1178,2741,166,781,1,95,0,0,0,0
2호선,도림천,1,0,367,407,1156,896,3321,6313,3403,5949,2181,2030,1790,1433,1612,1317,1926,1878,1710,1311,2134,1713,2428,1565,3798,1921,2887,2170,3822,2940,2015,2894,1179,1794,1009,1631,610,1433,272,1086,36,438,0,18,0,0,0,0
2호선,양천구청,33,3,4860,1054,12203,1974,35771,5848,33503,10476,21577,6897,14196,5927,13027,5749,13472,7441,11456,9174,9702,10028,8680,12102,10023,14680,10744,19325,10235,28558,5061,28428,3288,17833,2880,16255,2935,15928,1111,12658,164,4235,0,200,0,0,0,0
2호선,신정네거리,26,0,8987,2997,14361,7040,47714,5486,43666,12653,27260,9109,18814,8019,17052,8569,16896,10044,15517,12243,13056,13641,12467,17042,14297,21549,17447,27823,14591,41829,9247,37902,6460,23569,5416,20427,4721,19381,2023,13753,323,4026,3,234,0,0,0,0
2호선,용두(동대문구청),13,0,1065,155,1665,882,4972,2603,7955,6669,4228,4057,3854,3450,4092,3929,4608,4124,4741,4916,4944,4942,5184,5215,5377,4948,5779,5144,6791,7835,3495,6047,2530,3589,1948,3278,1445,2828,486,1992,76,561,0,8,0,0,0,0
3호선,지축,0,0,201,439,1348,4122,4483,1959,5033,1917,3292,1378,2361,1229,1876,1295,1987,1478,1852,1553,1781,1831,1985,2151,3127,2795,3594,3109,1886,4724,773,3708,434,2812,288,2201,161,1769,93,998,21,83,1,0,0,0,0,0
3호선,구파발,108,9,10363,1349,31309,9288,96341,23476,90537,30705,49123,26533,32999,24301,30192,22538,30866,23944,30340,26564,27917,27530,30335,30173,38097,37030,41231,44904,36357,69107,24042,66570,17721,40169,16285,36380,13753,35403,4400,25192,597,8064,1,606,0,0,0,0
3호선,연신내,272,12,28431,2132,55818,13508,156937,33193,188031,39883,108367,44313,73503,39072,68291,39507,72495,44503,71003,50787,62997,56219,62841,67808,72308,83903,70821,101047,64352,150283,47169,151689,36351,94909,33475,84440,29486,81798,14973,55498,2455,18065,0,20,0,0,0,0
3호선,불광,47,6,9809,1255,22297,7252,63215,12381,74394,36488,42788,40380,31543,32491,29457,28403,31228,31571,33513,37648,31942,35997,33787,38571,37445,44044,39629,50824,41079,69632,25242,63738,19472,38175,17464,33570,13503,32544,5662,20591,868,6413,0,0,0,0,0,0
3호선,녹번,22,1,8362,1707,21399,11794,63085,7914,74607,18479,42159,13016,27136,10138,23900,10148,23490,11992,21687,13688,18101,15002,17787,18439,21290,24280,23806,29846,21935,45611,11519,46347,7751,30085,6718,28916,5250,27408,2263,17614,321,4770,0,1,0,0,0,0
3호선,홍제,62,0,9401,1298,23927,8201,70068,13718,83490,33900,53437,30531,36668,24110,35356,21980,37432,23824,35449,28052,31878,28217,33198,33434,35882,40187,37918,48008,37344,65656,20922,60977,16487,38536,13644,35770,10608,34704,4518,22090,598,6111,0,0,0,0,0,0
3호선,무악재,24,1,2026,265,5360,2031,16323,3370,19237,6075,11676,4959,8751,4294,7672,4221,7136,4372,6473,5109,5501,5878,5209,7043,5807,8698,6544,10510,7366,14906,3857,14546,2604,9727,2463,9186,1638,9512,669,6172,86,1585,0,0,0,0,0,0
